lead_id,full_name,company_name,owner_type,mailing_address,mailing_city,mailing_state,mailing_zip,situs_address,situs_city,situs_state,situs_zip,tcad_account_id,owner_occupied_guess,total_value,property_type,property_count,lead_score,why_flagged,data_limitations,engagement_score,engagement_reason,equity_estimate,has_email,has_phone,contact_quality,entity_role,role_score_modifier,role_reason
b23855470eb437e0768711785872c3cda9e33c0b,WATERMAN TORY & KATHRYN BATES,,PERSON,10137 LONGHORN SKWY,DRIPPING SPRINGS,TX,78620,LONGHORN SKYWAY,DRIPPING SPRINGS,TX,78620,000000108810,N,000000000353051,R,2,80,under FHA cap + absentee owner + 2 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + 2 properties + note sweet spot value,"353,051",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: WATER
bc83f34cda3fd04f5967f2423a8cc84ccbd693ef,WATERS CALLIE,,PERSON,128 SERENADA DR,GEORGETOWN,TX,78628,CHAMPION LN,LAKEWAY,TX,78734,000000135243,N,000000000392311,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + strong absentee + note sweet spot value + simple name,"392,311",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: WATER
a09fa8324039d40e534e68408a9b2d5260bd54e0,,RVJ ELECTRICAL LLC,LLC,2401 WHITEBEAD TRL,AUSTIN,TX,78734,WHITEBEAD TRL,AUSTIN,TX,78734,000000146825,N,000000000191817,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"191,817",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: ELECTRIC
8503157a0673fe244ef0b4ed735c5af5ee4bfd9d,WATERS FREDERICK B & SHARON G,,PERSON,5704 WAGON WHEEL,LAGO VISTA,TX,78645,WAGON WHEEL,LAGO VISTA,TX,78645,000000176907,N,000000000361817,R,2,80,under FHA cap + absentee owner + 2 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + 2 properties + note sweet spot value,"361,817",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: WATER
0153c8b464c17b40a6d0615bb107c163ceb87992,WATERS SANDRA K,,PERSON,4706 OAK CLIFF DR,AUSTIN,TX,78721,OAK CLIFF DR,AUSTIN,TX,78721,000000204827,N,000000000390411,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"390,411",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: WATER
fc0184a92ef98c9fcbd2c4ad658d43fb43b1d937,CITY OF AUSTIN,,PERSON,PO BOX 1088 # 13TH FL,AUSTIN,TX,78767,SWEENEY LN,AUSTIN,TX,78723,000000217127,N,000000000360879,R,3450,90,under FHA cap + absentee owner + 3450 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + PO box or missing + weak absentee + 3450 properties + note sweet spot value,"360,879",N,N,NONE,GOVERNMENT_ENTITY,EXCLUDED,government keyword: CITY OF
8a5b66163da8a9c75723686b37b80384db5e3cbf,CHURCH OF CHRIST ST JOHNS ADDN,,PERSON,7202 BETHUNE AVE,AUSTIN,TX,78752,BETHUNE AVE,AUSTIN,TX,78752,000000230275,N,000000000312446,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"312,446",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: CHURCH
f1ca88e2b622c4e08620f010326f9d382c9c4713,ST PAUL BAPTIST CHURCH,,PERSON,501 BLACKSON AVE,AUSTIN,TX,78752,BLACKSON AVE,AUSTIN,TX,78752,000000232659,N,000000000245127,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"245,127",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: CHURCH
1caad93b6f5871af1e0b3361d57d8804f174806d,CITY OF MANOR,,PERSON,% VILLARREAL KENDALL & JOHN AUSTIN GONZALES,MANOR,TX,78653,CARRIE MANOR ST,,TX,78653,000000235707,N,000000000259073,R,72,90,under FHA cap + absentee owner + 72 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + owner occupied + 72 properties + note sweet spot value,"259,073",N,N,STREET_ADDRESS,GOVERNMENT_ENTITY,EXCLUDED,government keyword: CITY OF
c789a0feb522728781583d59470e8c44b5869945,,WATERLOO PROSPECTS LLC,LLC,5900 BALCONES DR STE 100,AUSTIN,TX,78731,FLORENCE DR,AUSTIN,TX,78753,000000240602,N,000000000287880,R,8,90,under FHA cap + absentee owner + 8 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,0,no email + no phone + street address + weak absentee + 8 properties + note sweet spot value,"287,880",N,N,STREET_ADDRESS,UTILITY_OR_NONPROFIT,EXCLUDED,utility keyword: WATER
