lead_id,full_name,company_name,owner_type,mailing_address,mailing_city,mailing_state,mailing_zip,situs_address,situs_city,situs_state,situs_zip,tcad_account_id,owner_occupied_guess,total_value,property_type,property_count,lead_score,why_flagged,data_limitations,engagement_score,engagement_reason,equity_estimate,has_email,has_phone,contact_quality,entity_role,role_score_modifier,role_reason
cb220efb83da9d5caa005fb8ee807f2451a11c78,,BAMBINI INVESTMENTS LLC,LLC,100 THISTLE CT,AUSTIN,TX,78733,TRAVIS COOK RD,,TX,78735,000000101523,N,000000000340334,R,3,90,under FHA cap + absentee owner + 3 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + owner occupied + 3 properties + note sweet spot value,"340,334",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: INVEST
43af66eff36b86a4d0a32f71d0fd07fc699a4b13,WEKSHI CAPITAL,,PERSON,5415 TRAVIS COOK RD,AUSTIN,TX,78735,TRAVIS COOK RD,AUSTIN,TX,78735,000000103831,N,000000000168063,R,4,90,under FHA cap + absentee owner + 4 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,90,no email + no phone + street address + weak absentee + 4 properties + note sweet spot value,"168,063",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: CAPITAL
499f7294d87588cc4ab604af9c615a42878b873c,,ALBERICO CARL ANTHONY TRUST,TRUST,611 ELLIOTT RANCH RD,BUDA,TX,78610,WILDWOOD CIR,DRIPPING SPRINGS,TX,78620,000000105087,N,000000000306910,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + strong absentee + note sweet spot value,"306,910",N,N,STREET_ADDRESS,TRUST_ENTITY,15,trust keyword: TRUST
5ed48b0ac6a56268d94baa524a32f0bfdbd1523b,,REAL ESTATE CENTRAL LLC,LLC,5900 BALCONES DR,AUSTIN,TX,78731,LONGHORN SKYWAY,DRIPPPING SPGS,TX,78620,000000108808,N,000000000257142,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + strong absentee + note sweet spot value,"257,142",N,N,STREET_ADDRESS,TRUST_ENTITY,15,trust keyword: ESTATE
91ffb27b21d54f2f7d4f34cf24ea604f5ecd603a,CRUMLEY FAMILY LIMITED PARTNERSHIP,,PERSON,% CSA PROPERTIES INC,DRIPPING SPRINGS,TX,78620,LONGHORN SKYWAY,,TX,78620,000000108909,N,000000000330895,R,5,90,under FHA cap + absentee owner + 5 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + owner occupied + 5 properties + note sweet spot value,"330,895",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: PARTNERS
5942bc94d6fc907389f051cbb854a44355222f60,,JKB AUSTIN HOLDINGS LLC,LLC,1801 S MOPAC EXPY STE 100,AUSTIN,TX,78746,WOODLAWN BLVD,,TX,78703,000000112166,N,000000000344621,R,5,90,under FHA cap + absentee owner + 5 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + owner occupied + 5 properties + note sweet spot value,"344,621",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: HOLDINGS
bf35a7e84ba1cc8811bf0623dcc9c405cb9d070b,,OAKMONT HOLDINGS LLC,LLC,3307 OAKMONT DR,SUGAR LAND,TX,77479,SAN GABRIEL ST,,TX,78705,000000112464,N,000000000348222,R,5,90,under FHA cap + absentee owner + 5 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + owner occupied + 5 properties + note sweet spot value,"348,222",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: HOLDINGS
24bfb1a558e3dfcf072359bfb3959444cabd170b,,LEAHY FAMILY LIVING TRUST,TRUST,6459 HART LN,AUSTIN,TX,78731,HART LN,AUSTIN,TX,78731,000000131372,N,000000000326165,R,2,80,under FHA cap + absentee owner + 2 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,67,no email + no phone + street address + weak absentee + 2 properties + note sweet spot value,"326,165",N,N,STREET_ADDRESS,TRUST_ENTITY,15,trust keyword: TRUST
ce0493c8f889a72802d7457e159ad10a8e148d8a,,LEDEGO INVESTMENTS LLC,LLC,TERRASOL # 132 LOMAS DEL VALLE,,,,HART LN,,,78731,000000133991,N,000000000240889,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"240,889",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: INVEST
b1f77a1dc00cefff22bcaeed7eed8e8670cf1736,,MJE HOLDINGS LLC,LLC,5100 SADDLE CIR,AUSTIN,TX,78727,HART LN,,TX,78731,000000134078,N,000000000252624,R,3,90,under FHA cap + absentee owner + 3 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + owner occupied + 3 properties + note sweet spot value,"252,624",N,N,STREET_ADDRESS,INVESTOR_ENTITY,20,investor keyword: HOLDINGS
